init,member,verifying,REOF1,REOF2,REOF3,REOF4,REOF5,REOF6,REOF7,REOF8,REOF9,REOF10
1999-dec17,ens1,200001,1.64061,0.99784,0.61290,0.14159,-1.61097,-0.95150,0.04659,0.56176,-1.10324,1.55302
1999-dec22,ens1,200001,0.99039,2.38407,0.58919,-0.47510,-1.03524,0.42315,0.47395,-1.77983,0.09640,0.84040
1999-dec27,ens1,200001,1.36561,1.35874,-0.06442,-0.38260,0.35110,-1.81493,-0.06475,-2.06473,0.68097,1.32654
1999-jan16,ens1,199902,0.86966,2.51101,-1.53760,-0.56542,-0.07842,0.40703,1.42967,-1.69239,0.60901,-0.15623
1999-jan21,ens1,199902,-2.44955,0.84305,0.29329,0.02232,0.03782,0.26513,-0.88260,1.01086,1.45882,0.39748
1999-jan26,ens1,199902,-0.72948,1.96829,-0.83381,-1.41591,-0.09812,-0.93571,1.38964,-1.55338,-0.03868,-0.34515
1999-jan31,ens1,199902,-0.03252,0.63319,-0.15413,-0.92990,-0.55994,1.50961,1.46156,-1.19083,-0.99880,1.04254
1999-feb10,ens1,199903,0.00278,0.48027,0.04291,-0.67365,-0.17804,2.17758,-0.47027,-0.12090,-0.58684,1.65716
1999-feb15,ens1,199903,1.07629,0.81034,-0.24757,0.18297,0.12653,-0.84507,0.10859,0.73602,-0.41720,1.51369
1999-feb20,ens1,199903,1.03459,0.69839,0.23501,0.55147,0.15804,-1.22448,1.48319,1.59425,-1.65871,0.69294
1999-feb25,ens1,199903,-1.08918,0.54432,-0.49581,-0.52639,-0.49039,-1.29805,-0.23480,0.69431,-0.39854,0.11375
2000-dec02,ens1,200101,-0.90903,-0.04298,-1.49714,1.92768,0.95866,0.33589,0.36931,1.03967,0.65732,-0.39841
2000-dec07,ens1,200101,-0.20139,2.01660,-0.97661,0.78519,0.97605,1.43133,-0.91397,-0.34744,-0.17349,-0.13234
2000-dec12,ens1,200101,0.03392,1.02639,1.18140,0.24824,-0.03367,-0.62666,0.47842,0.76897,0.62636,-0.27045
2000-dec17,ens1,200101,-1.24797,-0.43161,0.11486,0.49724,0.52053,-0.41439,-0.63295,0.51923,2.18890,-0.97398
2000-dec22,ens1,200101,-1.54140,-0.94547,-0.80872,0.25367,-0.31293,-0.45787,0.48290,-0.02197,1.77908,0.76774
2000-dec27,ens1,200101,0.29209,0.07316,-1.72438,-0.16391,0.34431,-0.78771,-1.10215,-1.04138,-0.25802,0.37896
2000-jan16,ens1,200002,0.67619,0.25213,0.81830,1.89005,0.51652,0.24730,0.21753,-0.47354,-0.60966,1.50250
2000-jan21,ens1,200002,1.14675,0.08265,1.10779,0.66356,-0.53497,0.15657,-0.07672,-0.56635,0.26972,0.35562
2000-jan26,ens1,200002,0.68277,0.39326,-1.18341,-0.54123,-0.70804,2.97049,-1.43402,-1.58328,1.04555,2.16445
2000-jan31,ens1,200002,1.28622,1.12195,1.40970,-0.16052,-1.42654,-0.23562,-0.23681,-1.04124,-0.75988,1.88955
2000-feb10,ens1,200003,0.07093,-0.01845,-0.24316,0.15018,-0.13367,-1.65591,0.41248,-0.16016,1.25414,1.06033
2000-feb15,ens1,200003,0.91031,1.64072,0.73880,-0.09714,-1.65733,-0.34988,1.50285,1.33432,-0.07808,0.32951
2000-feb20,ens1,200003,0.02824,0.38900,0.17879,-0.87475,-1.59008,0.66235,-0.27449,1.20537,-1.08768,1.07146
2000-feb25,ens1,200003,1.47167,-0.29496,-0.53280,-0.76129,-0.75706,1.40810,-0.38564,0.01192,0.71600,1.59189
2001-dec02,ens1,200201,-0.20441,-0.44798,1.46371,-1.67615,-0.85932,-1.32603,-0.21194,0.64351,0.54724,-0.92419
2001-dec07,ens1,200201,-0.77148,-1.05804,-0.39449,-1.12038,1.38853,-0.29454,0.96224,0.03670,1.27448,-0.21764
2001-dec12,ens1,200201,1.31884,-0.97618,0.25315,1.42126,0.33444,-1.34058,-0.40758,0.63672,0.27794,1.64214
