init,member,verifying,patterns,REOF1,REOF2,REOF3,REOF4,REOF5,REOF6,REOF7,REOF8,REOF9,REOF10
20260615,ens2,202607,JJA,-0.99356,1.61924,0.38742,1.83787,1.79511,0.39775,2.25706,1.64708,1.06884,-0.62558
20260615,ens2,202608,JJA,-2.69738,-0.10629,-0.39017,0.76503,1.40180,0.14191,1.15309,1.66722,1.06568,-1.39690
20260615,ens3,202606,JJA,-1.48792,-0.20643,-0.28469,2.05723,3.48482,2.01330,2.19081,0.82564,2.63393,1.87226
20260615,ens3,202607,JJA,-0.34401,-0.70961,-0.01775,0.43321,0.71999,0.62950,1.29669,-0.50805,0.96429,0.64783
20260615,ens3,202608,JJA,-0.62764,-0.35843,-0.39818,0.70835,1.59512,-1.33519,2.03474,0.25752,0.85153,0.19496
20260615,ens4,202606,JJA,-0.88415,0.57365,0.11798,2.02396,3.46873,1.09362,1.86819,1.73517,2.35648,1.72899
20260615,ens4,202607,JJA,0.64968,0.50481,0.66180,1.59344,1.51741,0.13255,1.31051,-0.72108,0.59725,-0.12089
20260615,ens4,202608,JJA,-0.09471,-0.34371,0.18548,1.24110,1.63061,0.64475,2.33508,-0.42656,0.06717,-0.35695
20260615,ens5,202606,JJA,-1.63111,-0.06933,-0.31019,1.30712,3.88967,1.91904,1.68830,2.12175,3.07711,1.96220
20260615,ens5,202607,JJA,0.43835,-0.04652,-0.13286,0.52894,1.92829,0.36980,1.55799,-0.05598,1.28299,0.93352
20260615,ens5,202608,JJA,-0.58083,-0.31100,0.27764,0.46191,2.04416,0.76563,1.84886,0.07895,1.93696,0.22338
20260620,ens1,202606,JJA,0.72451,2.11907,1.01053,2.24521,5.02064,2.82282,2.41516,0.62418,2.18178,1.90848
20260620,ens1,202607,JJA,0.69088,-0.03035,0.27159,-0.59983,1.17407,1.46110,0.24438,0.27663,0.02641,-0.22726
20260620,ens1,202608,JJA,-0.99025,0.20991,0.04610,0.44830,1.96621,-0.97762,1.24042,-0.24344,0.73775,-0.34587
20260620,ens1,202609,SON,0.92214,0.76936,-0.57078,-0.47902,-1.67380,0.14961,0.31287,-0.48933,-0.10139,-1.14031
20260620,ens1,202610,SON,-0.97289,0.28811,0.09701,0.57384,0.12557,0.02363,-0.43950,0.14237,0.97043,-0.81200
20260620,ens1,202611,SON,0.30855,-0.70479,0.96547,-1.65274,1.51418,-1.60881,-1.66158,1.78602,-0.72567,-1.01899
20260620,ens1,202612,DJF,-0.54058,-0.82304,-0.19106,-0.76400,0.69073,0.25403,-0.05086,1.40002,0.68938,1.93249
20260620,ens1,202701,DJF,-0.60840,-1.74155,0.18094,-0.50988,0.52740,-0.82932,-2.02009,-0.63371,-1.25798,-0.38441
20260620,ens1,202702,DJF,-0.64906,-1.46213,-0.31969,0.24786,1.99355,-1.23504,-1.10925,-1.02617,-2.21467,1.07713
20260620,ens2,202606,JJA,0.56529,2.11002,0.84306,2.24324,4.99509,3.24222,2.81118,0.41757,2.90430,1.83496
20260620,ens2,202607,JJA,-0.03018,1.47974,0.76488,1.07099,1.31185,0.03276,1.70148,0.27724,0.37077,0.53630
20260620,ens2,202608,JJA,-0.47933,-0.84398,0.26581,1.20877,-0.66808,-1.47873,2.16730,0.11095,0.92993,0.74911
20260620,ens3,202606,JJA,0.96176,2.20342,1.16422,1.56379,4.58949,3.09797,3.03950,1.08143,2.50158,1.91885
20260620,ens3,202607,JJA,-1.44641,-1.37535,-0.43379,0.41996,0.64444,0.10238,1.26083,0.21179,0.60996,0.60580
20260620,ens3,202608,JJA,-0.60195,0.26662,0.79108,2.37616,1.49797,-1.15884,1.96211,0.00158,0.64766,0.80168
20260620,ens4,202606,JJA,0.61021,2.49565,0.80524,1.54368,5.12844,2.83555,3.10640,1.12532,2.52971,1.80559
